"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_AGE","ENCODED_SIZE","CENT_FOCUS_DIST","ENCODED_COUNTRY","ENCODED_OBJECT_TYPE"
15.15089571,0.0021728,97.5995,268.8358,198.2376,161.8079,6898.844,95.044,535.698,505.719,5,1,14.9898082432,75,2
14.06954658,0.0076218,99.0722,248.902,247.0628,112.2483,7247.949,102.349,925.056,814.571,25,1,55.2424176882,53,1
14.960593,0.001402,97.6497,12.0602,319.0966,40.9202,6957.224,96.253,588.843,569.335,6,1,9.754028048,35,2
13.75766741,0.0210171,98.6869,201.9329,225.0284,133.3663,7357.077,104.669,1133.566,824.318,54,1,154.6244230167,75,1
15.02247261,0.001271,97.7009,240.3099,46.1427,314.085,6938.105,95.856,568.789,551.152,4,1,8.818331455,23,2
14.13117691,0.0074386,99.2782,125.1032,303.0295,110.0816,7226.86,101.902,902.482,794.967,25,1,53.757720796,53,1
13.99651752,0.0148071,98.6582,90.8485,150.4519,210.5117,7273.138,102.883,1002.697,787.309,25,1,107.6940816798,53,1
14.04157271,0.0256404,98.8701,344.2773,281.0034,139.6057,7257.572,102.553,1065.524,693.35,25,1,186.0870491088,53,1
14.15158315,0.0019869,98.7674,14.799,153.7358,206.4827,7219.911,101.755,856.121,827.43,24,1,14.3452411659,75,1
10.65163337,0.1532399,51.6012,21.842,130.0672,244.494,8725.514,135.191,3684.476,1010.282,13,1,1337.0968928086,14,1
13.85308276,0.0060489,83.1526,5.606,0.7411,359.383,7323.256,103.948,989.419,900.823,43,1,44.2976432184,14,1
13.91663874,0.016305,98.4477,206.4693,320.5518,174.1474,7300.943,103.473,1041.85,803.766,25,1,119.041875615,53,1
13.93892195,0.0164567,99.0689,336.5651,186.631,349.3489,7293.16,103.308,1035.046,795.003,25,1,120.021346172,53,1
13.50366708,0.0320709,98.5053,277.3679,347.0877,12.2189,7449.047,106.638,1309.809,832.014,25,1,238.8976414323,53,1
14.0421011,0.0183936,98.3067,237.3443,31.1002,330.0901,7257.39,102.549,1012.744,745.765,25,1,133.489528704,53,1
13.19357327,0.0476446,99.0084,340.5618,44.9764,332.8007,7565.313,109.144,1547.624,826.731,25,1,360.4463117598,53,1
14.47614465,0.0023463,86.3369,277.9865,333.8997,201.2401,7111.588,99.474,750.139,716.767,27,1,16.6859189244,75,1
13.92749175,0.0113205,98.1263,31.9566,196.9087,338.7285,7297.149,103.393,1001.622,836.407,25,1,82.6073752545,53,1
14.34619801,0.002257,65.0161,265.4925,260.5916,99.2618,7154.467,100.375,792.48,760.185,37,1,16.147632019,14,1
14.25743814,0.0097806,98.4996,328.6499,89.461,271.7776,7184.13,101,876.26,735.73,25,1,70.265101878,53,1
14.96221044,0.0012316,97.6537,12.7784,321.2902,38.7435,6956.722,96.242,587.155,570.019,6,1,8.5678988152,23,2
13.96698938,0.0080355,98.8288,340.5736,170.624,4.4329,7283.386,103.1,963.776,846.725,25,1,58.525648203,53,1
13.714896,0.0068901,82.5058,312.4253,84.0954,90.6958,7372.365,104.995,1045.026,943.434,37,1,50.7963320865,14,1
